"Regione","Cuperlo","Schlein","Bonaccini","De Micheli","Bianche","Voti totali","Circoli votanti"
"Aosta",0,4,11,1,0,16,1
"Abruzzo",22,89,148,0,0,259,11
"Basilicata",33,144,485,153,0,815,24
"Calabria",3,3,81,30,0,117,1
"Campania",14,41,287,53,0,395,14
"Emilia Romagna",352,1184,2152,173,10,3871,101
"Friuli-Venezia Giulia",80,187,194,19,3,483,29
"Lazio",4,108,24,6,0,142,7
"Liguria",32,405,262,14,1,714,20
"Lombardia",252,860,850,78,7,2047,97
"Marche",22,137,216,7,0,382,20
"Molise",0,0,0,0,0,0,0
"Piemonte",143,560,610,20,7,1340,31
"Puglia",0,0,0,0,0,0,0
"Sardegna",0,0,0,0,0,0,0
"Sicilia",5,2,70,0,0,77,2
"Umbria",35,47,84,0,0,166,11
"Toscana",212,1249,1740,40,38,3279,101
"Trentino-Alto Adige",15,34,11,1,0,61,4
"Veneto",97,507,471,46,8,1129,53
"Estero",12,58,64,4,0,138,9
"Totale",1333,5619,7760,645,74,15431,536
